Date	Time	Temperature
2017-02-19	15:32:57	19.5
2017-02-19	15:32:59	19.5
2017-02-19	15:33:02	19.5
2017-02-19	15:33:04	19.5
2017-02-19	15:33:06	19.5
2017-02-19	15:33:08	19.5
2017-02-19	15:33:10	19.5
2017-02-19	15:33:12	19.5
2017-02-19	15:33:15	19.562
2017-02-19	15:33:17	19.562
2017-02-19	15:33:19	19.562
2017-02-19	15:33:21	19.5
2017-02-19	15:33:23	19.562
2017-02-19	15:33:25	19.5
2017-02-19	15:33:27	19.562
2017-02-19	15:33:29	19.562
2017-02-19	15:33:32	19.5
2017-02-19	15:33:34	19.562
2017-02-19	15:33:36	19.562
2017-02-19	15:33:38	19.5
2017-02-19	15:33:40	19.562
2017-02-19	15:33:42	19.562
2017-02-19	15:33:44	19.562
2017-02-19	15:33:47	19.562
2017-02-19	15:33:49	19.562
2017-02-19	15:33:51	19.562
2017-02-19	15:33:53	19.562
2017-02-19	15:33:55	19.562
2017-02-19	15:33:57	19.562
2017-02-19	15:33:59	19.562
2017-02-19	15:34:02	19.562
2017-02-19	15:34:04	19.562
2017-02-19	15:34:06	19.562
2017-02-19	15:34:08	19.562
2017-02-19	15:34:10	19.562
2017-02-19	15:34:12	19.562
2017-02-19	15:34:14	19.562
2017-02-19	15:34:17	19.562
2017-02-19	15:34:19	19.562
2017-02-19	15:34:21	19.562
2017-02-19	15:34:24	19.562
2017-02-19	15:34:26	19.562
2017-02-19	15:37:13	19.562
2017-02-19	15:37:16	19.562
2017-02-19	15:37:18	19.562
2017-02-19	15:37:21	19.625
2017-02-19	15:37:23	19.625
2017-02-19	15:37:25	19.625
2017-02-19	15:37:27	19.625
2017-02-19	15:37:29	19.625
2017-02-19	15:37:31	19.625
2017-02-19	15:37:34	19.625
2017-02-19	15:37:36	19.625
2017-02-19	15:37:38	19.625
2017-02-19	15:37:40	19.625
2017-02-19	15:37:42	19.625
2017-02-19	15:37:44	19.625
2017-02-19	15:37:46	19.625
2017-02-19	15:37:48	19.625
2017-02-19	15:37:51	19.687
2017-02-19	15:37:53	19.687
2017-02-19	15:37:55	19.687
2017-02-19	15:37:57	19.687
2017-02-19	15:37:59	19.687
2017-02-19	15:38:01	19.687
2017-02-19	15:38:03	19.687
2017-02-19	15:38:06	19.625
2017-02-19	15:38:08	19.687
2017-02-19	15:38:10	19.687
2017-02-19	15:38:12	19.687
2017-02-19	15:38:14	19.687
2017-02-19	15:38:16	19.687
2017-02-19	15:38:19	19.687
2017-02-19	15:38:21	19.687
2017-02-19	15:38:23	19.687
2017-02-19	15:38:25	19.687
2017-02-19	15:38:27	19.687
2017-02-19	15:38:29	19.687
2017-02-19	15:38:31	19.687
2017-02-19	15:38:33	19.687
2017-02-19	15:38:36	19.687
2017-02-19	15:38:38	19.687
2017-02-19	15:38:40	19.687
2017-02-19	15:38:42	19.687
2017-02-19	15:38:44	19.687
2017-02-19	15:38:46	19.687
2017-02-19	15:38:48	19.687
2017-02-19	15:38:51	19.687
2017-02-19	15:38:53	19.687
2017-02-19	15:38:55	19.687
2017-02-19	15:38:57	19.687
2017-02-19	15:38:59	19.687
2017-02-19	15:39:01	19.687
2017-02-19	15:39:03	19.687
2017-02-19	15:39:06	19.687
2017-02-19	15:39:08	19.687
2017-02-19	15:39:10	19.687
2017-02-19	15:39:12	19.687
2017-02-19	15:39:14	19.687
2017-02-19	15:39:16	19.75
2017-02-19	15:39:18	19.687
2017-02-19	15:39:21	19.75
2017-02-19	15:39:23	19.75
2017-02-19	15:39:25	19.687
2017-02-19	15:39:27	19.687
2017-02-19	15:39:29	19.687
2017-02-19	15:39:31	19.687
2017-02-19	15:39:33	19.687
2017-02-19	15:39:35	19.75
2017-02-19	15:39:38	19.687
2017-02-19	15:39:40	19.75
2017-02-19	15:39:42	19.75
2017-02-19	15:39:44	19.687
2017-02-19	15:39:46	19.687
2017-02-19	15:39:48	19.75
2017-02-19	15:39:50	19.75
2017-02-19	15:39:53	19.75
2017-02-19	15:39:55	19.75
2017-02-19	15:39:57	19.687
2017-02-19	15:39:59	19.75
2017-02-19	15:40:01	19.75
2017-02-19	15:40:03	19.75
2017-02-19	15:40:06	19.75
2017-02-19	15:40:08	19.75
2017-02-19	15:40:10	19.687
2017-02-19	15:40:12	19.75
2017-02-19	15:40:14	19.75
2017-02-19	15:40:16	19.75
2017-02-19	15:40:18	19.75
2017-02-19	15:40:21	19.687
2017-02-19	15:40:23	19.75
2017-02-19	15:40:27	19.75
2017-02-19	15:40:30	19.75
2017-02-19	15:40:32	19.75
2017-02-19	15:40:35	19.75
2017-02-19	15:40:37	19.75
2017-02-19	15:40:39	19.75
2017-02-19	15:40:41	19.75
2017-02-19	15:40:43	19.75
2017-02-19	15:40:47	19.75
2017-02-19	15:40:51	19.75
2017-02-19	15:40:53	19.75
2017-02-19	15:40:57	19.75
2017-02-19	15:40:59	19.75
2017-02-19	15:41:01	19.75
2017-02-19	15:41:03	19.75
2017-02-19	15:41:05	19.75
2017-02-19	15:41:07	19.75
2017-02-19	15:41:10	19.75
2017-02-19	15:41:12	19.75
2017-02-19	15:41:14	19.75
2017-02-19	15:41:17	19.75
2017-02-19	15:41:20	19.75
2017-02-19	15:41:22	19.75
2017-02-19	15:41:24	19.75
2017-02-19	15:41:26	19.75
2017-02-19	15:41:29	19.75
